MapDate,AreaOfInterest,OT,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID,date,start_date,end_date
20240109,Total,55.14,44.86,26.71,12.78,4.51,0.68,2024-01-09,2024-01-15,1,2024-01-09,2024-01-09,2024-01-15
20240102,Total,54.06,45.94,27.59,13.88,5.25,1.02,2024-01-02,2024-01-08,1,2024-01-02,2024-01-02,2024-01-08
20231226,Total,54.5,45.5,27.07,13.99,5.38,0.97,2023-12-26,2024-01-01,1,2023-12-26,2023-12-26,2024-01-01
20231219,Total,53.58,46.42,27.88,15.24,5.48,0.93,2023-12-19,2023-12-25,1,2023-12-19,2023-12-19,2023-12-25
20231212,Total,53.01,46.99,28.05,15.34,5.29,0.91,2023-12-12,2023-12-18,1,2023-12-12,2023-12-12,2023-12-18
20231205,Total,53.54,46.46,28.85,15.85,6.2,1.02,2023-12-05,2023-12-11,1,2023-12-05,2023-12-05,2023-12-11
20231128,Total,53.21,46.79,30.28,17.12,6.54,1.78,2023-11-28,2023-12-04,1,2023-11-28,2023-11-28,2023-12-04
20231121,Total,52.84,47.16,31.44,18.1,7.27,2.06,2023-11-21,2023-11-27,1,2023-11-21,2023-11-21,2023-11-27
20231114,Total,53.23,46.77,31.46,18.07,7.52,2.31,2023-11-14,2023-11-20,1,2023-11-14,2023-11-14,2023-11-20
20231107,Total,53.58,46.42,31.48,18.26,7.16,2.1,2023-11-07,2023-11-13,1,2023-11-07,2023-11-07,2023-11-13
20231031,Total,54.37,45.63,30.68,17.65,6.62,1.82,2023-10-31,2023-11-06,1,2023-10-31,2023-10-31,2023-11-06
20231024,Total,51.32,48.68,33.43,19.9,7.59,2.19,2023-10-24,2023-10-30,1,2023-10-24,2023-10-24,2023-10-30
20231017,Total,51.02,48.98,33.22,18.92,7.28,2.1,2023-10-17,2023-10-23,1,2023-10-17,2023-10-17,2023-10-23
20231010,Total,50.41,49.59,33.59,18.96,7.53,2.11,2023-10-10,2023-10-16,1,2023-10-10,2023-10-10,2023-10-16
20231003,Total,50.88,49.12,33.62,19.41,8.35,2.45,2023-10-03,2023-10-09,1,2023-10-03,2023-10-03,2023-10-09
20230926,Total,52.53,47.47,32.1,18.79,8.48,2.35,2023-09-26,2023-10-02,1,2023-09-26,2023-09-26,2023-10-02
20230919,Total,53.18,46.82,31.71,19.63,9.44,2.52,2023-09-19,2023-09-25,1,2023-09-19,2023-09-19,2023-09-25
20230912,Total,55.18,44.82,31.1,19.32,8.0,1.98,2023-09-12,2023-09-18,1,2023-09-12,2023-09-12,2023-09-18
20230905,Total,56.21,43.79,30.2,18.27,7.52,1.65,2023-09-05,2023-09-11,1,2023-09-05,2023-09-05,2023-09-11
20230829,Total,56.62,43.38,28.76,15.93,6.23,1.28,2023-08-29,2023-09-04,1,2023-08-29,2023-08-29,2023-09-04
20230822,Total,56.68,43.32,27.52,14.58,4.82,1.0,2023-08-22,2023-08-28,1,2023-08-22,2023-08-22,2023-08-28
20230815,Total,56.01,43.99,25.86,10.7,2.59,0.18,2023-08-15,2023-08-21,1,2023-08-15,2023-08-15,2023-08-21
20230808,Total,54.65,45.35,25.54,9.77,2.3,0.19,2023-08-08,2023-08-14,1,2023-08-08,2023-08-08,2023-08-14
20230801,Total,55.74,44.26,23.52,8.99,2.11,0.22,2023-08-01,2023-08-07,1,2023-08-01,2023-08-01,2023-08-07
20230725,Total,57.19,42.81,22.68,8.18,2.19,0.22,2023-07-25,2023-07-31,1,2023-07-25,2023-07-25,2023-07-31
20230718,Total,58.38,41.62,21.6,7.14,2.23,0.29,2023-07-18,2023-07-24,1,2023-07-18,2023-07-18,2023-07-24
20230711,Total,58.67,41.33,22.48,7.89,2.16,0.33,2023-07-11,2023-07-17,1,2023-07-11,2023-07-11,2023-07-17
20230704,Total,56.25,43.75,22.57,7.83,2.29,0.45,2023-07-04,2023-07-10,1,2023-07-04,2023-07-04,2023-07-10
20230627,Total,54.86,45.14,22.61,7.74,2.16,0.49,2023-06-27,2023-07-03,1,2023-06-27,2023-06-27,2023-07-03
20230620,Total,53.06,46.94,22.67,6.69,2.06,0.47,2023-06-20,2023-06-26,1,2023-06-20,2023-06-20,2023-06-26
20230613,Total,54.29,45.71,20.89,5.76,1.82,0.6,2023-06-13,2023-06-19,1,2023-06-13,2023-06-13,2023-06-19
20230606,Total,54.28,45.72,18.33,5.99,1.96,0.66,2023-06-06,2023-06-12,1,2023-06-06,2023-06-06,2023-06-12
20230530,Total,58.13,41.87,15.84,6.8,2.74,1.04,2023-05-30,2023-06-05,1,2023-05-30,2023-05-30,2023-06-05
20230523,Total,66.06,33.94,16.05,7.44,3.11,1.11,2023-05-23,2023-05-29,1,2023-05-23,2023-05-23,2023-05-29
20230516,Total,65.41,34.59,17.02,7.95,3.61,1.22,2023-05-16,2023-05-22,1,2023-05-16,2023-05-16,2023-05-22
20230509,Total,61.87,38.13,19.65,9.72,4.92,1.49,2023-05-09,2023-05-15,1,2023-05-09,2023-05-09,2023-05-15
20230502,Total,61.6,38.4,20.42,9.82,5.13,1.51,2023-05-02,2023-05-08,1,2023-05-02,2023-05-02,2023-05-08
20230425,Total,61.48,38.52,21.37,10.02,4.99,1.88,2023-04-25,2023-05-01,1,2023-04-25,2023-04-25,2023-05-01
20230418,Total,61.08,38.92,21.61,10.42,4.63,1.87,2023-04-18,2023-04-24,1,2023-04-18,2023-04-18,2023-04-24
20230411,Total,60.49,39.51,21.77,10.56,4.37,1.75,2023-04-11,2023-04-17,1,2023-04-11,2023-04-11,2023-04-17
20230404,Total,56.86,43.14,23.63,11.21,4.54,1.6,2023-04-04,2023-04-10,1,2023-04-04,2023-04-04,2023-04-10
20230328,Total,56.53,43.47,25.65,11.61,4.4,1.53,2023-03-28,2023-04-03,1,2023-03-28,2023-03-28,2023-04-03
20230321,Total,55.97,44.03,28.86,12.26,4.15,1.45,2023-03-21,2023-03-27,1,2023-03-21,2023-03-21,2023-03-27
20230314,Total,56.09,43.91,29.9,13.14,4.44,1.3,2023-03-14,2023-03-20,1,2023-03-14,2023-03-14,2023-03-20
20230307,Total,54.13,45.87,31.45,13.98,4.43,1.27,2023-03-07,2023-03-13,1,2023-03-07,2023-03-07,2023-03-13
20230228,Total,54.03,45.97,32.13,14.46,4.72,1.29,2023-02-28,2023-03-06,1,2023-02-28,2023-02-28,2023-03-06
20230221,Total,51.98,48.02,34.7,15.26,4.57,1.37,2023-02-21,2023-02-27,1,2023-02-21,2023-02-21,2023-02-27
20230214,Total,52.02,47.98,34.55,15.81,4.69,1.42,2023-02-14,2023-02-20,1,2023-02-14,2023-02-14,2023-02-20
20230207,Total,49.5,50.5,34.99,16.39,5.29,1.48,2023-02-07,2023-02-13,1,2023-02-07,2023-02-07,2023-02-13
20230131,Total,48.39,51.61,35.67,17.87,6.2,1.45,2023-01-31,2023-02-06,1,2023-01-31,2023-01-31,2023-02-06
20230124,Total,47.25,52.75,36.0,18.13,6.25,1.48,2023-01-24,2023-01-30,1,2023-01-24,2023-01-24,2023-01-30
20230117,Total,45.63,54.37,36.72,19.42,6.61,1.5,2023-01-17,2023-01-23,1,2023-01-17,2023-01-17,2023-01-23
20230110,Total,44.32,55.68,36.78,20.1,7.02,1.5,2023-01-10,2023-01-16,1,2023-01-10,2023-01-10,2023-01-16
20230103,Total,41.85,58.15,38.67,21.93,8.24,1.55,2023-01-03,2023-01-09,1,2023-01-03,2023-01-03,2023-01-09
20221227,Total,38.05,61.95,41.5,23.58,8.99,1.96,2022-12-27,2023-01-02,1,2022-12-27,2022-12-27,2023-01-02
20221220,Total,38.17,61.83,41.22,23.58,8.99,1.96,2022-12-20,2022-12-26,1,2022-12-20,2022-12-20,2022-12-26
20221213,Total,35.03,64.97,44.51,25.18,9.43,1.97,2022-12-13,2022-12-19,1,2022-12-13,2022-12-13,2022-12-19
20221206,Total,34.26,65.74,46.41,26.0,10.37,2.36,2022-12-06,2022-12-12,1,2022-12-06,2022-12-06,2022-12-12
20221129,Total,33.27,66.73,48.1,26.88,10.87,2.33,2022-11-29,2022-12-05,1,2022-11-29,2022-11-29,2022-12-05
20221122,Total,31.58,68.42,49.59,27.62,11.67,2.4,2022-11-22,2022-11-28,1,2022-11-22,2022-11-22,2022-11-28
20221115,Total,31.47,68.53,49.41,27.52,11.65,2.37,2022-11-15,2022-11-21,1,2022-11-15,2022-11-15,2022-11-21
20221108,Total,28.85,71.15,50.46,29.12,11.84,2.52,2022-11-08,2022-11-14,1,2022-11-08,2022-11-08,2022-11-14
20221101,Total,28.61,71.39,52.54,30.41,12.07,2.48,2022-11-01,2022-11-07,1,2022-11-01,2022-11-01,2022-11-07
20221025,Total,29.28,70.72,52.7,30.17,12.22,2.39,2022-10-25,2022-10-31,1,2022-10-25,2022-10-25,2022-10-31
20221018,Total,31.14,68.86,49.71,28.82,12.27,2.55,2022-10-18,2022-10-24,1,2022-10-18,2022-10-18,2022-10-24
20221011,Total,31.52,68.48,46.43,27.71,12.11,2.47,2022-10-11,2022-10-17,1,2022-10-11,2022-10-11,2022-10-17
20221004,Total,35.17,64.83,44.04,27.15,11.45,2.24,2022-10-04,2022-10-10,1,2022-10-04,2022-10-04,2022-10-10
20220927,Total,36.92,63.08,42.65,25.36,10.45,2.14,2022-09-27,2022-10-03,1,2022-09-27,2022-09-27,2022-10-03
20220920,Total,42.08,57.92,41.02,24.93,9.77,1.87,2022-09-20,2022-09-26,1,2022-09-20,2022-09-20,2022-09-26
20220913,Total,44.36,55.64,37.91,24.45,9.35,1.48,2022-09-13,2022-09-19,1,2022-09-13,2022-09-13,2022-09-19
20220906,Total,46.46,53.54,36.96,24.24,9.55,1.45,2022-09-06,2022-09-12,1,2022-09-06,2022-09-06,2022-09-12
20220830,Total,45.63,54.37,38.23,25.72,10.91,1.68,2022-08-30,2022-09-05,1,2022-08-30,2022-08-30,2022-09-05
20220823,Total,45.67,54.33,39.33,27.42,12.31,2.17,2022-08-23,2022-08-29,1,2022-08-23,2022-08-23,2022-08-29
20220816,Total,43.68,56.32,41.23,29.13,14.47,3.26,2022-08-16,2022-08-22,1,2022-08-16,2022-08-16,2022-08-22
20220809,Total,44.53,55.47,41.97,30.32,15.56,3.6,2022-08-09,2022-08-15,1,2022-08-09,2022-08-09,2022-08-15
20220802,Total,43.25,56.75,43.16,30.97,15.85,3.74,2022-08-02,2022-08-08,1,2022-08-02,2022-08-02,2022-08-08
20220726,Total,39.59,60.41,43.61,31.0,16.39,3.71,2022-07-26,2022-08-01,1,2022-07-26,2022-07-26,2022-08-01
20220719,Total,36.68,63.32,44.57,30.11,15.08,3.77,2022-07-19,2022-07-25,1,2022-07-19,2022-07-19,2022-07-25
20220712,Total,35.33,64.67,44.98,27.19,14.38,3.9,2022-07-12,2022-07-18,1,2022-07-12,2022-07-12,2022-07-18
20220705,Total,33.92,66.08,44.3,27.57,14.74,3.22,2022-07-05,2022-07-11,1,2022-07-05,2022-07-05,2022-07-11
20220628,Total,34.97,65.03,42.53,27.6,14.68,3.23,2022-06-28,2022-07-04,1,2022-06-28,2022-06-28,2022-07-04
20220621,Total,40.18,59.82,39.84,27.5,15.99,4.69,2022-06-21,2022-06-27,1,2022-06-21,2022-06-21,2022-06-27
20220614,Total,44.8,55.2,39.23,27.41,16.41,4.67,2022-06-14,2022-06-20,1,2022-06-14,2022-06-14,2022-06-20
20220607,Total,45.1,54.9,40.1,28.74,16.4,4.54,2022-06-07,2022-06-13,1,2022-06-07,2022-06-07,2022-06-13
20220531,Total,48.43,51.57,41.42,30.93,16.83,4.61,2022-05-31,2022-06-06,1,2022-05-31,2022-05-31,2022-06-06
20220524,Total,46.62,53.38,42.41,32.74,17.5,4.98,2022-05-24,2022-05-30,1,2022-05-24,2022-05-24,2022-05-30
20220517,Total,46.57,53.43,43.98,33.38,18.07,4.82,2022-05-17,2022-05-23,1,2022-05-17,2022-05-17,2022-05-23
20220510,Total,48.19,51.81,44.38,33.25,16.69,3.57,2022-05-10,2022-05-16,1,2022-05-10,2022-05-10,2022-05-16
20220503,Total,45.95,54.05,45.01,33.86,15.48,3.48,2022-05-03,2022-05-09,1,2022-05-03,2022-05-03,2022-05-09
20220426,Total,45.79,54.21,45.37,35.37,16.49,2.97,2022-04-26,2022-05-02,1,2022-04-26,2022-04-26,2022-05-02
20220419,Total,44.84,55.16,46.35,35.96,16.91,2.36,2022-04-19,2022-04-25,1,2022-04-19,2022-04-19,2022-04-25
20220412,Total,43.47,56.53,47.52,36.17,16.19,2.16,2022-04-12,2022-04-18,1,2022-04-12,2022-04-12,2022-04-18
20220405,Total,41.92,58.08,48.01,36.16,14.63,1.78,2022-04-05,2022-04-11,1,2022-04-05,2022-04-05,2022-04-11
20220329,Total,41.7,58.3,48.57,34.54,14.33,1.55,2022-03-29,2022-04-04,1,2022-03-29,2022-03-29,2022-04-04
20220322,Total,39.74,60.26,48.83,34.15,13.82,1.47,2022-03-22,2022-03-28,1,2022-03-22,2022-03-22,2022-03-28
20220315,Total,37.76,62.24,51.09,35.48,14.24,1.74,2022-03-15,2022-03-21,1,2022-03-15,2022-03-15,2022-03-21
20220308,Total,37.05,62.95,51.19,34.95,12.49,1.7,2022-03-08,2022-03-14,1,2022-03-08,2022-03-08,2022-03-14
20220301,Total,38.38,61.62,49.58,33.4,11.12,0.98,2022-03-01,2022-03-07,1,2022-03-01,2022-03-01,2022-03-07
20220222,Total,38.52,61.48,48.19,30.32,10.17,1.03,2022-02-22,2022-02-28,1,2022-02-22,2022-02-22,2022-02-28
20220215,Total,39.18,60.82,47.81,30.37,9.9,1.04,2022-02-15,2022-02-21,1,2022-02-15,2022-02-15,2022-02-21
20220208,Total,40.34,59.66,46.5,29.58,9.46,1.12,2022-02-08,2022-02-14,1,2022-02-08,2022-02-08,2022-02-14
20220201,Total,39.41,60.59,46.33,30.52,10.21,1.12,2022-02-01,2022-02-07,1,2022-02-01,2022-02-01,2022-02-07
20220125,Total,40.59,59.41,46.14,30.4,10.2,1.1,2022-01-25,2022-01-31,1,2022-01-25,2022-01-25,2022-01-31
20220118,Total,40.65,59.35,46.06,30.08,9.43,1.0,2022-01-18,2022-01-24,1,2022-01-18,2022-01-18,2022-01-24
20220111,Total,39.92,60.08,45.96,29.53,9.6,1.03,2022-01-11,2022-01-17,1,2022-01-11,2022-01-11,2022-01-17
20220104,Total,39.91,60.09,45.82,29.35,10.33,1.3,2022-01-04,2022-01-10,1,2022-01-04,2022-01-04,2022-01-10
20211228,Total,38.5,61.5,46.23,30.3,11.7,1.59,2021-12-28,2022-01-03,1,2021-12-28,2021-12-28,2022-01-03
20211221,Total,39.37,60.63,46.17,30.67,14.68,3.07,2021-12-21,2021-12-27,1,2021-12-21,2021-12-21,2021-12-27
20211214,Total,38.04,61.96,46.15,30.66,14.83,3.81,2021-12-14,2021-12-20,1,2021-12-14,2021-12-14,2021-12-20
20211207,Total,39.59,60.41,46.53,31.05,14.92,4.16,2021-12-07,2021-12-13,1,2021-12-07,2021-12-07,2021-12-13
20211130,Total,42.07,57.93,44.76,29.38,14.86,4.45,2021-11-30,2021-12-06,1,2021-11-30,2021-11-30,2021-12-06
20211123,Total,45.03,54.97,42.32,27.62,14.42,4.45,2021-11-23,2021-11-29,1,2021-11-23,2021-11-23,2021-11-29
20211116,Total,46.77,53.23,40.87,27.22,14.36,4.46,2021-11-16,2021-11-22,1,2021-11-16,2021-11-16,2021-11-22
20211109,Total,47.24,52.76,40.25,27.27,14.81,4.56,2021-11-09,2021-11-15,1,2021-11-09,2021-11-09,2021-11-15
20211102,Total,47.41,52.59,40.01,27.55,15.03,4.8,2021-11-02,2021-11-08,1,2021-11-02,2021-11-02,2021-11-08
20211026,Total,46.23,53.77,39.62,28.29,15.95,5.04,2021-10-26,2021-11-01,1,2021-10-26,2021-10-26,2021-11-01
20211019,Total,48.34,51.66,38.88,28.14,17.36,5.58,2021-10-19,2021-10-25,1,2021-10-19,2021-10-19,2021-10-25
20211012,Total,47.61,52.39,39.61,29.53,18.58,5.86,2021-10-12,2021-10-18,1,2021-10-12,2021-10-12,2021-10-18
20211005,Total,47.75,52.25,39.72,30.5,19.3,5.91,2021-10-05,2021-10-11,1,2021-10-05,2021-10-05,2021-10-11
20210928,Total,47.51,52.49,40.05,30.61,19.32,6.07,2021-09-28,2021-10-04,1,2021-09-28,2021-09-28,2021-10-04
20210921,Total,49.0,51.0,38.98,29.59,19.0,6.03,2021-09-21,2021-09-27,1,2021-09-21,2021-09-21,2021-09-27
20210914,Total,51.01,48.99,38.19,29.85,19.87,6.29,2021-09-14,2021-09-20,1,2021-09-14,2021-09-14,2021-09-20
20210907,Total,54.02,45.98,38.19,29.86,20.04,6.36,2021-09-07,2021-09-13,1,2021-09-07,2021-09-07,2021-09-13
20210831,Total,53.47,46.53,39.03,30.61,20.47,6.62,2021-08-31,2021-09-06,1,2021-08-31,2021-08-31,2021-09-06
20210824,Total,51.34,48.66,39.62,31.81,21.43,6.99,2021-08-24,2021-08-30,1,2021-08-24,2021-08-24,2021-08-30
20210817,Total,49.65,50.35,40.28,32.17,22.39,7.71,2021-08-17,2021-08-23,1,2021-08-17,2021-08-17,2021-08-23
20210810,Total,49.69,50.31,39.98,32.65,22.11,7.57,2021-08-10,2021-08-16,1,2021-08-10,2021-08-10,2021-08-16
20210803,Total,50.79,49.21,39.99,32.64,21.71,7.45,2021-08-03,2021-08-09,1,2021-08-03,2021-08-03,2021-08-09
20210727,Total,50.57,49.43,39.74,32.11,21.29,7.39,2021-07-27,2021-08-02,1,2021-07-27,2021-07-27,2021-08-02
20210720,Total,49.94,50.06,40.13,31.81,21.38,8.36,2021-07-20,2021-07-26,1,2021-07-20,2021-07-20,2021-07-26
20210713,Total,49.08,50.92,38.91,30.99,20.19,8.25,2021-07-13,2021-07-19,1,2021-07-13,2021-07-13,2021-07-19
20210706,Total,47.62,52.38,39.6,30.67,18.97,7.93,2021-07-06,2021-07-12,1,2021-07-06,2021-07-06,2021-07-12
20210629,Total,48.65,51.35,39.53,29.85,19.0,8.11,2021-06-29,2021-07-05,1,2021-06-29,2021-06-29,2021-07-05
20210622,Total,46.82,53.18,39.89,29.02,18.23,8.25,2021-06-22,2021-06-28,1,2021-06-22,2021-06-22,2021-06-28
20210615,Total,47.31,52.69,38.5,27.51,17.9,8.26,2021-06-15,2021-06-21,1,2021-06-15,2021-06-15,2021-06-21
20210608,Total,46.4,53.6,37.82,26.77,17.76,8.26,2021-06-08,2021-06-14,1,2021-06-08,2021-06-08,2021-06-14
20210601,Total,47.18,52.82,36.54,25.47,17.53,8.16,2021-06-01,2021-06-07,1,2021-06-01,2021-06-01,2021-06-07
20210525,Total,45.2,54.8,36.31,25.2,17.75,8.55,2021-05-25,2021-05-31,1,2021-05-25,2021-05-25,2021-05-31
20210518,Total,46.59,53.41,36.97,25.94,18.29,8.11,2021-05-18,2021-05-24,1,2021-05-18,2021-05-18,2021-05-24
20210511,Total,45.38,54.62,38.59,26.65,18.8,7.97,2021-05-11,2021-05-17,1,2021-05-11,2021-05-11,2021-05-17
20210504,Total,41.59,58.41,38.91,26.93,18.84,7.56,2021-05-04,2021-05-10,1,2021-05-04,2021-05-04,2021-05-10
20210427,Total,39.39,60.61,40.43,27.14,18.15,7.7,2021-04-27,2021-05-03,1,2021-04-27,2021-04-27,2021-05-03
20210420,Total,42.58,57.42,39.5,26.59,17.66,7.6,2021-04-20,2021-04-26,1,2021-04-20,2021-04-20,2021-04-26
20210413,Total,44.37,55.63,38.01,26.16,17.42,7.57,2021-04-13,2021-04-19,1,2021-04-13,2021-04-13,2021-04-19
20210406,Total,41.5,58.5,37.64,25.64,16.91,7.45,2021-04-06,2021-04-12,1,2021-04-06,2021-04-06,2021-04-12
20210330,Total,41.38,58.62,36.7,24.74,15.61,7.28,2021-03-30,2021-04-05,1,2021-03-30,2021-03-30,2021-04-05
20210323,Total,40.69,59.31,36.4,24.92,15.09,7.3,2021-03-23,2021-03-29,1,2021-03-23,2021-03-23,2021-03-29
20210316,Total,39.31,60.69,36.91,25.11,14.84,7.15,2021-03-16,2021-03-22,1,2021-03-16,2021-03-16,2021-03-22
20210309,Total,38.72,61.28,39.06,26.41,15.51,7.17,2021-03-09,2021-03-15,1,2021-03-09,2021-03-09,2021-03-15
20210302,Total,44.98,55.02,38.95,25.84,15.55,7.1,2021-03-02,2021-03-08,1,2021-03-02,2021-03-02,2021-03-08
20210223,Total,43.56,56.44,38.09,25.78,15.59,7.05,2021-02-23,2021-03-01,1,2021-02-23,2021-02-23,2021-03-01
20210216,Total,43.09,56.91,37.78,25.21,15.89,6.8,2021-02-16,2021-02-22,1,2021-02-16,2021-02-16,2021-02-22
20210209,Total,42.9,57.1,38.4,26.14,17.02,7.35,2021-02-09,2021-02-15,1,2021-02-09,2021-02-09,2021-02-15
20210202,Total,43.02,56.98,38.27,26.31,17.03,7.33,2021-02-02,2021-02-08,1,2021-02-02,2021-02-02,2021-02-08
20210126,Total,45.25,54.75,38.5,27.17,17.63,7.49,2021-01-26,2021-02-01,1,2021-01-26,2021-01-26,2021-02-01
20210119,Total,44.3,55.7,37.64,27.11,17.77,7.82,2021-01-19,2021-01-25,1,2021-01-19,2021-01-19,2021-01-25
20210112,Total,45.72,54.28,37.52,27.17,17.69,7.73,2021-01-12,2021-01-18,1,2021-01-12,2021-01-12,2021-01-18
20210105,Total,47.06,52.94,38.27,27.49,17.63,7.91,2021-01-05,2021-01-11,1,2021-01-05,2021-01-05,2021-01-11
20201229,Total,43.05,56.95,40.97,28.61,18.56,8.26,2020-12-29,2021-01-04,1,2020-12-29,2020-12-29,2021-01-04
20201222,Total,42.53,57.47,41.46,28.59,18.56,8.26,2020-12-22,2020-12-28,1,2020-12-22,2020-12-22,2020-12-28
20201215,Total,42.17,57.83,41.25,28.52,18.41,8.26,2020-12-15,2020-12-21,1,2020-12-15,2020-12-15,2020-12-21
20201208,Total,41.8,58.2,41.06,27.99,17.63,8.27,2020-12-08,2020-12-14,1,2020-12-08,2020-12-08,2020-12-14
20201201,Total,42.28,57.72,40.18,26.67,17.57,8.24,2020-12-01,2020-12-07,1,2020-12-01,2020-12-01,2020-12-07
20201124,Total,41.75,58.25,40.67,26.79,17.04,7.12,2020-11-24,2020-11-30,1,2020-11-24,2020-11-24,2020-11-30
20201117,Total,44.05,55.95,39.6,25.77,15.73,4.72,2020-11-17,2020-11-23,1,2020-11-17,2020-11-17,2020-11-23
20201110,Total,44.2,55.8,38.62,25.18,15.71,3.39,2020-11-10,2020-11-16,1,2020-11-10,2020-11-10,2020-11-16
20201103,Total,45.93,54.07,37.94,24.18,14.84,2.38,2020-11-03,2020-11-09,1,2020-11-03,2020-11-03,2020-11-09
20201027,Total,44.04,55.96,38.75,24.97,15.06,2.36,2020-10-27,2020-11-02,1,2020-10-27,2020-10-27,2020-11-02
20201020,Total,42.39,57.61,39.53,24.67,15.23,2.36,2020-10-20,2020-10-26,1,2020-10-20,2020-10-20,2020-10-26
20201013,Total,43.34,56.66,39.28,24.97,14.07,1.73,2020-10-13,2020-10-19,1,2020-10-13,2020-10-13,2020-10-19
20201006,Total,44.96,55.04,37.2,24.29,13.33,1.73,2020-10-06,2020-10-12,1,2020-10-06,2020-10-06,2020-10-12
20200929,Total,44.5,55.5,35.78,22.89,12.23,1.0,2020-09-29,2020-10-05,1,2020-09-29,2020-09-29,2020-10-05
20200922,Total,46.13,53.87,33.49,21.71,10.67,0.48,2020-09-22,2020-09-28,1,2020-09-22,2020-09-22,2020-09-28
20200915,Total,47.0,53.0,32.82,21.0,9.64,0.36,2020-09-15,2020-09-21,1,2020-09-15,2020-09-15,2020-09-21
20200908,Total,47.06,52.94,32.68,21.02,9.79,0.14,2020-09-08,2020-09-14,1,2020-09-08,2020-09-08,2020-09-14
20200901,Total,46.27,53.73,33.27,20.69,7.19,0.08,2020-09-01,2020-09-07,1,2020-09-01,2020-09-01,2020-09-07
20200825,Total,50.01,49.99,32.87,20.06,6.59,0.07,2020-08-25,2020-08-31,1,2020-08-25,2020-08-25,2020-08-31
20200818,Total,53.51,46.49,30.64,16.8,3.68,0.02,2020-08-18,2020-08-24,1,2020-08-18,2020-08-18,2020-08-24
20200811,Total,54.43,45.57,28.76,13.37,3.2,0.0,2020-08-11,2020-08-17,1,2020-08-11,2020-08-11,2020-08-17
20200804,Total,53.51,46.49,27.98,12.68,2.63,0.0,2020-08-04,2020-08-10,1,2020-08-04,2020-08-04,2020-08-10
20200728,Total,52.16,47.84,27.41,11.78,2.43,0.0,2020-07-28,2020-08-03,1,2020-07-28,2020-07-28,2020-08-03
20200721,Total,52.47,47.53,26.33,10.29,2.18,0.0,2020-07-21,2020-07-27,1,2020-07-21,2020-07-21,2020-07-27
20200714,Total,56.01,43.99,23.04,9.7,2.29,0.0,2020-07-14,2020-07-20,1,2020-07-14,2020-07-14,2020-07-20
20200707,Total,58.37,41.63,21.63,9.21,1.96,0.0,2020-07-07,2020-07-13,1,2020-07-07,2020-07-07,2020-07-13
20200630,Total,61.85,38.15,21.42,8.81,2.08,0.06,2020-06-30,2020-07-06,1,2020-06-30,2020-06-30,2020-07-06
20200623,Total,62.43,37.57,21.36,8.26,1.9,0.0,2020-06-23,2020-06-29,1,2020-06-23,2020-06-23,2020-06-29
