CBSA,CBSA Code,date,OT,Category,Defining Parameter,Defining Site,Number of Sites Reporting,start_date,end_date
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-01-31,82,Moderate,CO,34-027-0003,26,1980-01-31,1980-01-31
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-02-01,80,Moderate,CO,36-061-0058,26,1980-02-01,1980-02-01
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-02-02,57,Moderate,CO,36-061-0058,26,1980-02-02,1980-02-02
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-02-03,45,Good,CO,34-027-0003,25,1980-02-03,1980-02-03
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-02-04,77,Moderate,CO,34-027-0003,24,1980-02-04,1980-02-04
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-02-05,85,Moderate,CO,36-061-0058,26,1980-02-05,1980-02-05
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-02-06,135,Unhealthy for Sensitive Groups,CO,34-027-0003,26,1980-02-06,1980-02-06
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-02-07,75,Moderate,CO,34-027-0003,26,1980-02-07,1980-02-07
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-02-08,78,Moderate,CO,36-061-0058,24,1980-02-08,1980-02-08
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-02-09,64,Moderate,CO,36-061-0058,11,1980-02-09,1980-02-09
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-02-10,55,Moderate,CO,36-061-0062,11,1980-02-10,1980-02-10
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-02-11,74,Moderate,CO,36-061-0058,26,1980-02-11,1980-02-11
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-02-12,75,Moderate,CO,34-027-0003,26,1980-02-12,1980-02-12
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-02-13,83,Moderate,CO,36-061-0058,27,1980-02-13,1980-02-13
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-02-14,85,Moderate,NO2,36-059-0005,27,1980-02-14,1980-02-14
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-02-15,75,Moderate,CO,34-027-0003,25,1980-02-15,1980-02-15
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-02-16,82,Moderate,CO,36-061-0058,25,1980-02-16,1980-02-16
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-02-17,52,Moderate,CO,36-061-0062,24,1980-02-17,1980-02-17
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-02-18,104,Unhealthy for Sensitive Groups,NO2,36-059-0005,25,1980-02-18,1980-02-18
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-02-19,75,Moderate,CO,34-017-1002,24,1980-02-19,1980-02-19
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-02-20,128,Unhealthy for Sensitive Groups,CO,34-027-0003,25,1980-02-20,1980-02-20
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-02-21,131,Unhealthy for Sensitive Groups,CO,34-027-0003,25,1980-02-21,1980-02-21
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-02-22,100,Moderate,CO,34-027-0003,25,1980-02-22,1980-02-22
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-02-23,85,Moderate,CO,34-027-0003,25,1980-02-23,1980-02-23
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-02-24,80,Moderate,CO,34-027-0003,25,1980-02-24,1980-02-24
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-02-25,103,Unhealthy for Sensitive Groups,CO,34-027-0003,27,1980-02-25,1980-02-25
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-02-26,79,Moderate,CO,36-061-0058,27,1980-02-26,1980-02-26
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-02-27,74,Moderate,CO,34-017-1002,25,1980-02-27,1980-02-27
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-02-28,86,Moderate,CO,34-027-0003,26,1980-02-28,1980-02-28
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-02-29,75,Moderate,CO,34-027-0003,24,1980-02-29,1980-02-29
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-03-01,89,Moderate,CO,34-027-0003,27,1980-03-01,1980-03-01
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-03-02,79,Moderate,CO,34-027-0003,27,1980-03-02,1980-03-02
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-03-03,98,Moderate,CO,34-027-0003,27,1980-03-03,1980-03-03
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-03-04,91,Moderate,CO,34-027-0003,27,1980-03-04,1980-03-04
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-03-05,87,Moderate,CO,36-061-0058,27,1980-03-05,1980-03-05
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-03-06,84,Moderate,CO,34-027-0003,27,1980-03-06,1980-03-06
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-03-07,108,Unhealthy for Sensitive Groups,CO,36-061-0062,27,1980-03-07,1980-03-07
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-03-08,128,Unhealthy for Sensitive Groups,CO,34-039-0003,26,1980-03-08,1980-03-08
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-03-09,89,Moderate,CO,36-061-0062,26,1980-03-09,1980-03-09
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-03-10,89,Moderate,NO2,34-013-1003,28,1980-03-10,1980-03-10
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-03-11,77,Moderate,CO,36-061-0058,28,1980-03-11,1980-03-11
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-03-12,98,Moderate,CO,36-061-0058,27,1980-03-12,1980-03-12
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-03-13,77,Moderate,CO,34-027-0003,26,1980-03-13,1980-03-13
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-03-14,64,Moderate,CO,36-061-0058,28,1980-03-14,1980-03-14
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-03-15,62,Moderate,NO2,34-013-1003,29,1980-03-15,1980-03-15
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-03-16,67,Moderate,NO2,34-013-1003,29,1980-03-16,1980-03-16
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-03-17,193,Unhealthy,CO,34-027-0003,29,1980-03-17,1980-03-17
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-03-18,90,Moderate,CO,36-061-0058,29,1980-03-18,1980-03-18
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-03-19,91,Moderate,CO,36-061-0058,30,1980-03-19,1980-03-19
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-03-20,209,Very Unhealthy,Ozone,36-047-0007,30,1980-03-20,1980-03-20
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-03-21,76,Moderate,CO,34-027-0003,30,1980-03-21,1980-03-21
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-03-22,69,Moderate,CO,34-027-0003,30,1980-03-22,1980-03-22
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-03-23,86,Moderate,CO,34-031-0003,30,1980-03-23,1980-03-23
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-03-24,92,Moderate,CO,34-031-0003,29,1980-03-24,1980-03-24
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-03-25,109,Unhealthy for Sensitive Groups,CO,34-027-0003,30,1980-03-25,1980-03-25
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-03-26,91,Moderate,CO,36-061-0058,30,1980-03-26,1980-03-26
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-03-27,75,Moderate,CO,34-027-0003,30,1980-03-27,1980-03-27
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-03-28,73,Moderate,CO,34-017-1002,30,1980-03-28,1980-03-28
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-03-29,80,Moderate,CO,34-039-0003,30,1980-03-29,1980-03-29
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-03-30,67,Moderate,CO,34-027-0003,30,1980-03-30,1980-03-30
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-03-31,89,Moderate,CO,34-027-0003,30,1980-03-31,1980-03-31
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-04-01,92,Moderate,CO,36-061-0058,30,1980-04-01,1980-04-01
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-04-02,109,Unhealthy for Sensitive Groups,CO,36-061-0058,30,1980-04-02,1980-04-02
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-04-03,108,Unhealthy for Sensitive Groups,CO,36-061-0058,29,1980-04-03,1980-04-03
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-04-04,151,Unhealthy,CO,36-061-0058,29,1980-04-04,1980-04-04
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-04-05,91,Moderate,CO,36-061-0058,29,1980-04-05,1980-04-05
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-04-06,105,Unhealthy for Sensitive Groups,Ozone,34-003-1001,27,1980-04-06,1980-04-06
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-04-07,80,Moderate,CO,36-061-0062,27,1980-04-07,1980-04-07
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-04-08,121,Unhealthy for Sensitive Groups,CO,34-027-0003,28,1980-04-08,1980-04-08
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-04-09,123,Unhealthy for Sensitive Groups,CO,36-061-0062,29,1980-04-09,1980-04-09
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-04-10,185,Unhealthy,CO,36-061-0058,29,1980-04-10,1980-04-10
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-04-11,118,Unhealthy for Sensitive Groups,CO,36-061-0058,30,1980-04-11,1980-04-11
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-04-12,84,Moderate,CO,36-061-0058,30,1980-04-12,1980-04-12
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-04-13,84,Moderate,Ozone,34-003-1001,30,1980-04-13,1980-04-13
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-04-14,91,Moderate,CO,34-027-0003,31,1980-04-14,1980-04-14
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-04-15,115,Unhealthy for Sensitive Groups,CO,36-061-0058,31,1980-04-15,1980-04-15
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-04-16,97,Moderate,CO,36-061-0058,31,1980-04-16,1980-04-16
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-04-17,73,Moderate,CO,36-061-0058,29,1980-04-17,1980-04-17
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-04-18,94,Moderate,CO,36-061-0058,26,1980-04-18,1980-04-18
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-04-19,87,Moderate,NO2,36-005-0003,30,1980-04-19,1980-04-19
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-04-20,119,Unhealthy for Sensitive Groups,Ozone,36-119-2004,26,1980-04-20,1980-04-20
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-04-21,116,Unhealthy for Sensitive Groups,CO,36-061-0058,28,1980-04-21,1980-04-21
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-04-22,84,Moderate,CO,36-061-0058,26,1980-04-22,1980-04-22
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-04-23,102,Unhealthy for Sensitive Groups,NO2,34-013-0008,29,1980-04-23,1980-04-23
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-04-24,161,Unhealthy,Ozone,34-019-0001,31,1980-04-24,1980-04-24
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-04-25,126,Unhealthy for Sensitive Groups,Ozone,34-019-0001,30,1980-04-25,1980-04-25
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-04-26,83,Moderate,NO2,36-005-0003,30,1980-04-26,1980-04-26
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-04-27,100,Moderate,Ozone,34-019-0001,29,1980-04-27,1980-04-27
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-04-28,68,Moderate,CO,34-027-0003,30,1980-04-28,1980-04-28
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-04-29,128,Unhealthy for Sensitive Groups,CO,34-027-0003,30,1980-04-29,1980-04-29
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-04-30,98,Moderate,CO,34-027-0003,30,1980-04-30,1980-04-30
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-05-01,95,Moderate,CO,34-027-0003,30,1980-05-01,1980-05-01
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-05-02,90,Moderate,CO,34-027-0003,31,1980-05-02,1980-05-02
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-05-03,128,Unhealthy for Sensitive Groups,CO,36-061-0058,31,1980-05-03,1980-05-03
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-05-04,128,Unhealthy for Sensitive Groups,CO,36-061-0058,29,1980-05-04,1980-05-04
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-05-05,192,Unhealthy,CO,36-061-0058,30,1980-05-05,1980-05-05
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-05-06,148,Unhealthy for Sensitive Groups,CO,36-061-0058,30,1980-05-06,1980-05-06
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-05-07,105,Unhealthy for Sensitive Groups,Ozone,34-019-0001,32,1980-05-07,1980-05-07
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-05-08,90,Moderate,CO,36-061-0058,32,1980-05-08,1980-05-08
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-05-09,90,Moderate,CO,36-061-0058,31,1980-05-09,1980-05-09
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-05-10,108,Unhealthy for Sensitive Groups,Ozone,34-017-0003,32,1980-05-10,1980-05-10
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-05-11,82,Moderate,CO,36-061-0062,31,1980-05-11,1980-05-11
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-05-12,165,Unhealthy,CO,36-061-0058,32,1980-05-12,1980-05-12
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-05-13,185,Unhealthy,CO,36-061-0058,30,1980-05-13,1980-05-13
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-05-14,156,Unhealthy,CO,36-061-0058,31,1980-05-14,1980-05-14
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-05-15,89,Moderate,CO,36-061-0058,32,1980-05-15,1980-05-15
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-05-16,93,Moderate,CO,36-061-0058,31,1980-05-16,1980-05-16
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-05-17,150,Unhealthy for Sensitive Groups,Ozone,36-103-0002,30,1980-05-17,1980-05-17
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-05-18,140,Unhealthy for Sensitive Groups,Ozone,36-103-0002,30,1980-05-18,1980-05-18
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-05-19,140,Unhealthy for Sensitive Groups,CO,36-061-0058,31,1980-05-19,1980-05-19
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-05-20,129,Unhealthy for Sensitive Groups,Ozone,36-119-2004,31,1980-05-20,1980-05-20
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-05-21,104,Unhealthy for Sensitive Groups,CO,36-061-0058,29,1980-05-21,1980-05-21
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-05-22,181,Unhealthy,CO,36-061-0058,30,1980-05-22,1980-05-22
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-05-23,200,Unhealthy,CO,36-061-0058,29,1980-05-23,1980-05-23
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-05-24,222,Very Unhealthy,Ozone,36-081-0004,29,1980-05-24,1980-05-24
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-05-25,99,Moderate,NO2,34-003-1001,29,1980-05-25,1980-05-25
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-05-26,60,Moderate,NO2,34-039-0004,29,1980-05-26,1980-05-26
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-05-27,115,Unhealthy for Sensitive Groups,CO,36-061-0058,31,1980-05-27,1980-05-27
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-05-28,116,Unhealthy for Sensitive Groups,CO,36-061-0058,31,1980-05-28,1980-05-28
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-05-29,143,Unhealthy for Sensitive Groups,Ozone,34-039-5001,31,1980-05-29,1980-05-29
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-05-30,105,Unhealthy for Sensitive Groups,NO2,34-013-1003,30,1980-05-30,1980-05-30
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-05-31,123,Unhealthy for Sensitive Groups,CO,34-017-1002,30,1980-05-31,1980-05-31
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-06-01,126,Unhealthy for Sensitive Groups,Ozone,34-019-0001,29,1980-06-01,1980-06-01
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-06-02,130,Unhealthy for Sensitive Groups,CO,36-061-0058,29,1980-06-02,1980-06-02
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-06-03,151,Unhealthy,CO,36-061-0058,31,1980-06-03,1980-06-03
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-06-04,123,Unhealthy for Sensitive Groups,CO,36-061-0058,29,1980-06-04,1980-06-04
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-06-05,90,Moderate,CO,36-061-0058,30,1980-06-05,1980-06-05
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-06-06,174,Unhealthy,Ozone,36-119-2004,32,1980-06-06,1980-06-06
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-06-07,100,Moderate,Ozone,34-019-0001,32,1980-06-07,1980-06-07
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-06-08,79,Moderate,NO2,34-013-1003,32,1980-06-08,1980-06-08
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-06-09,103,Unhealthy for Sensitive Groups,CO,36-061-0062,31,1980-06-09,1980-06-09
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-06-10,184,Unhealthy,Ozone,36-059-0005,33,1980-06-10,1980-06-10
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-06-11,79,Moderate,CO,36-061-0058,34,1980-06-11,1980-06-11
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-06-12,103,Unhealthy for Sensitive Groups,NO2,34-013-1003,34,1980-06-12,1980-06-12
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-06-13,224,Very Unhealthy,Ozone,34-027-3001,34,1980-06-13,1980-06-13
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-06-14,235,Very Unhealthy,Ozone,36-119-2004,33,1980-06-14,1980-06-14
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-06-15,219,Very Unhealthy,Ozone,36-119-2004,32,1980-06-15,1980-06-15
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-06-16,96,Moderate,CO,36-061-0058,33,1980-06-16,1980-06-16
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-06-17,108,Unhealthy for Sensitive Groups,Ozone,34-039-5001,33,1980-06-17,1980-06-17
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-06-18,214,Very Unhealthy,Ozone,34-019-0001,36,1980-06-18,1980-06-18
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-06-19,201,Very Unhealthy,Ozone,34-019-0001,36,1980-06-19,1980-06-19
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-06-20,93,Moderate,CO,36-061-0058,35,1980-06-20,1980-06-20
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-06-21,105,Unhealthy for Sensitive Groups,Ozone,36-119-2004,34,1980-06-21,1980-06-21
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-06-22,147,Unhealthy for Sensitive Groups,Ozone,34-025-0004,31,1980-06-22,1980-06-22
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-06-23,220,Very Unhealthy,Ozone,36-059-0010,36,1980-06-23,1980-06-23
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-06-24,230,Very Unhealthy,Ozone,36-119-2004,35,1980-06-24,1980-06-24
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-06-25,212,Very Unhealthy,Ozone,36-119-2004,33,1980-06-25,1980-06-25
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-06-26,119,Unhealthy for Sensitive Groups,Ozone,34-027-3001,31,1980-06-26,1980-06-26
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-06-27,206,Very Unhealthy,Ozone,36-085-0067,34,1980-06-27,1980-06-27
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-06-28,172,Unhealthy,Ozone,34-019-0001,34,1980-06-28,1980-06-28
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-06-29,166,Unhealthy,Ozone,34-019-0001,33,1980-06-29,1980-06-29
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-06-30,133,Unhealthy for Sensitive Groups,CO,36-061-0058,34,1980-06-30,1980-06-30
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-07-01,154,Unhealthy,Ozone,36-059-0010,33,1980-07-01,1980-07-01
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-07-02,192,Unhealthy,Ozone,34-019-0001,35,1980-07-02,1980-07-02
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-07-03,133,Unhealthy for Sensitive Groups,CO,34-017-1002,35,1980-07-03,1980-07-03
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-07-04,201,Very Unhealthy,Ozone,36-085-0067,35,1980-07-04,1980-07-04
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-07-05,227,Very Unhealthy,Ozone,34-027-3001,34,1980-07-05,1980-07-05
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-07-06,54,Moderate,NO2,36-081-0004,34,1980-07-06,1980-07-06
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-07-07,109,Unhealthy for Sensitive Groups,CO,36-061-0058,34,1980-07-07,1980-07-07
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-07-08,80,Moderate,CO,36-081-0004,30,1980-07-08,1980-07-08
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-07-09,204,Very Unhealthy,Ozone,36-059-0010,34,1980-07-09,1980-07-09
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-07-10,217,Very Unhealthy,Ozone,34-019-0001,35,1980-07-10,1980-07-10
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-07-11,205,Very Unhealthy,Ozone,36-059-0010,35,1980-07-11,1980-07-11
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-07-12,87,Moderate,CO,36-061-0058,35,1980-07-12,1980-07-12
"New York-Newark-Jersey City, NY-NJ-PA",35620,1980-07-13,129,Unhealthy for Sensitive Groups,Ozone,36-047-0007,35,1980-07-13,1980-07-13
