OT,Date,start_date,date,end_date
194836,1992-10-01,1992-10-01,1992-10-01,1992-10-31
177380,1992-11-01,1992-11-01,1992-11-01,1992-11-30
180999,1992-12-01,1992-12-01,1992-12-01,1992-12-31
171680,1993-01-01,1993-01-01,1993-01-01,1993-01-31
162844,1993-02-01,1993-02-01,1993-02-01,1993-02-28
187869,1993-03-01,1993-03-01,1993-03-01,1993-03-31
188737,1993-04-01,1993-04-01,1993-04-01,1993-04-30
205981,1993-05-01,1993-05-01,1993-05-01,1993-05-31
199414,1993-06-01,1993-06-01,1993-06-01,1993-06-30
209838,1993-07-01,1993-07-01,1993-07-01,1993-07-31
209634,1993-08-01,1993-08-01,1993-08-01,1993-08-31
193765,1993-09-01,1993-09-01,1993-09-01,1993-09-30
197793,1993-10-01,1993-10-01,1993-10-01,1993-10-31
182322,1993-11-01,1993-11-01,1993-11-01,1993-11-30
186828,1993-12-01,1993-12-01,1993-12-01,1993-12-31
169314,1994-01-01,1994-01-01,1994-01-01,1994-01-31
166444,1994-02-01,1994-02-01,1994-02-01,1994-02-28
196190,1994-03-01,1994-03-01,1994-03-01,1994-03-31
195407,1994-04-01,1994-04-01,1994-04-01,1994-04-30
206594,1994-05-01,1994-05-01,1994-05-01,1994-05-31
207280,1994-06-01,1994-06-01,1994-06-01,1994-06-30
214778,1994-07-01,1994-07-01,1994-07-01,1994-07-31
215045,1994-08-01,1994-08-01,1994-08-01,1994-08-31
200511,1994-09-01,1994-09-01,1994-09-01,1994-09-30
202864,1994-10-01,1994-10-01,1994-10-01,1994-10-31
190074,1994-11-01,1994-11-01,1994-11-01,1994-11-30
193087,1994-12-01,1994-12-01,1994-12-01,1994-12-31
193838,1995-01-01,1995-01-01,1995-01-01,1995-01-31
171053,1995-02-01,1995-02-01,1995-02-01,1995-02-28
201227,1995-03-01,1995-03-01,1995-03-01,1995-03-31
198213,1995-04-01,1995-04-01,1995-04-01,1995-04-30
212586,1995-05-01,1995-05-01,1995-05-01,1995-05-31
211370,1995-06-01,1995-06-01,1995-06-01,1995-06-30
217188,1995-07-01,1995-07-01,1995-07-01,1995-07-31
219216,1995-08-01,1995-08-01,1995-08-01,1995-08-31
203866,1995-09-01,1995-09-01,1995-09-01,1995-09-30
206745,1995-10-01,1995-10-01,1995-10-01,1995-10-31
194131,1995-11-01,1995-11-01,1995-11-01,1995-11-30
193341,1995-12-01,1995-12-01,1995-12-01,1995-12-31
183465,1996-01-01,1996-01-01,1996-01-01,1996-01-31
176562,1996-02-01,1996-02-01,1996-02-01,1996-02-29
204172,1996-03-01,1996-03-01,1996-03-01,1996-03-31
205253,1996-04-01,1996-04-01,1996-04-01,1996-04-30
218676,1996-05-01,1996-05-01,1996-05-01,1996-05-31
215551,1996-06-01,1996-06-01,1996-06-01,1996-06-30
225109,1996-07-01,1996-07-01,1996-07-01,1996-07-31
229050,1996-08-01,1996-08-01,1996-08-01,1996-08-31
207604,1996-09-01,1996-09-01,1996-09-01,1996-09-30
215654,1996-10-01,1996-10-01,1996-10-01,1996-10-31
199643,1996-11-01,1996-11-01,1996-11-01,1996-11-30
201462,1996-12-01,1996-12-01,1996-12-01,1996-12-31
190126,1997-01-01,1997-01-01,1997-01-01,1997-01-31
183950,1997-02-01,1997-02-01,1997-02-01,1997-02-28
211952,1997-03-01,1997-03-01,1997-03-01,1997-03-31
211290,1997-04-01,1997-04-01,1997-04-01,1997-04-30
226082,1997-05-01,1997-05-01,1997-05-01,1997-05-31
222254,1997-06-01,1997-06-01,1997-06-01,1997-06-30
236713,1997-07-01,1997-07-01,1997-07-01,1997-07-31
233496,1997-08-01,1997-08-01,1997-08-01,1997-08-31
213547,1997-09-01,1997-09-01,1997-09-01,1997-09-30
221219,1997-10-01,1997-10-01,1997-10-01,1997-10-31
202422,1997-11-01,1997-11-01,1997-11-01,1997-11-30
207322,1997-12-01,1997-12-01,1997-12-01,1997-12-31
196870,1998-01-01,1998-01-01,1998-01-01,1998-01-31
187167,1998-02-01,1998-02-01,1998-02-01,1998-02-28
214222,1998-03-01,1998-03-01,1998-03-01,1998-03-31
217921,1998-04-01,1998-04-01,1998-04-01,1998-04-30
227899,1998-05-01,1998-05-01,1998-05-01,1998-05-31
228733,1998-06-01,1998-06-01,1998-06-01,1998-06-30
239944,1998-07-01,1998-07-01,1998-07-01,1998-07-31
237143,1998-08-01,1998-08-01,1998-08-01,1998-08-31
219461,1998-09-01,1998-09-01,1998-09-01,1998-09-30
228523,1998-10-01,1998-10-01,1998-10-01,1998-10-31
211178,1998-11-01,1998-11-01,1998-11-01,1998-11-30
216303,1998-12-01,1998-12-01,1998-12-01,1998-12-31
193581,1999-01-01,1999-01-01,1999-01-01,1999-01-31
191485,1999-02-01,1999-02-01,1999-02-01,1999-02-28
220763,1999-03-01,1999-03-01,1999-03-01,1999-03-31
220996,1999-04-01,1999-04-01,1999-04-01,1999-04-30
230786,1999-05-01,1999-05-01,1999-05-01,1999-05-31
235970,1999-06-01,1999-06-01,1999-06-01,1999-06-30
243116,1999-07-01,1999-07-01,1999-07-01,1999-07-31
241503,1999-08-01,1999-08-01,1999-08-01,1999-08-31
224306,1999-09-01,1999-09-01,1999-09-01,1999-09-30
233631,1999-10-01,1999-10-01,1999-10-01,1999-10-31
221856,1999-11-01,1999-11-01,1999-11-01,1999-11-30
221465,1999-12-01,1999-12-01,1999-12-01,1999-12-31
203442,2000-01-01,2000-01-01,2000-01-01,2000-01-31
199261,2000-02-01,2000-02-01,2000-02-01,2000-02-29
232490,2000-03-01,2000-03-01,2000-03-01,2000-03-31
227698,2000-04-01,2000-04-01,2000-04-01,2000-04-30
242501,2000-05-01,2000-05-01,2000-05-01,2000-05-31
242963,2000-06-01,2000-06-01,2000-06-01,2000-06-30
245140,2000-07-01,2000-07-01,2000-07-01,2000-07-31
247832,2000-08-01,2000-08-01,2000-08-01,2000-08-31
227899,2000-09-01,2000-09-01,2000-09-01,2000-09-30
236491,2000-10-01,2000-10-01,2000-10-01,2000-10-31
222819,2000-11-01,2000-11-01,2000-11-01,2000-11-30
218390,2000-12-01,2000-12-01,2000-12-01,2000-12-31
209685,2001-01-01,2001-01-01,2001-01-01,2001-01-31
200876,2001-02-01,2001-02-01,2001-02-01,2001-02-28
232587,2001-03-01,2001-03-01,2001-03-01,2001-03-31
232513,2001-04-01,2001-04-01,2001-04-01,2001-04-30
245357,2001-05-01,2001-05-01,2001-05-01,2001-05-31
243498,2001-06-01,2001-06-01,2001-06-01,2001-06-30
250363,2001-07-01,2001-07-01,2001-07-01,2001-07-31
253274,2001-08-01,2001-08-01,2001-08-01,2001-08-31
226312,2001-09-01,2001-09-01,2001-09-01,2001-09-30
241050,2001-10-01,2001-10-01,2001-10-01,2001-10-31
230511,2001-11-01,2001-11-01,2001-11-01,2001-11-30
229584,2001-12-01,2001-12-01,2001-12-01,2001-12-31
215215,2002-01-01,2002-01-01,2002-01-01,2002-01-31
208237,2002-02-01,2002-02-01,2002-02-01,2002-02-28
236070,2002-03-01,2002-03-01,2002-03-01,2002-03-31
237226,2002-04-01,2002-04-01,2002-04-01,2002-04-30
251746,2002-05-01,2002-05-01,2002-05-01,2002-05-31
247868,2002-06-01,2002-06-01,2002-06-01,2002-06-30
256392,2002-07-01,2002-07-01,2002-07-01,2002-07-31
258666,2002-08-01,2002-08-01,2002-08-01,2002-08-31
233625,2002-09-01,2002-09-01,2002-09-01,2002-09-30
245556,2002-10-01,2002-10-01,2002-10-01,2002-10-31
230648,2002-11-01,2002-11-01,2002-11-01,2002-11-30
234260,2002-12-01,2002-12-01,2002-12-01,2002-12-31
218534,2003-01-01,2003-01-01,2003-01-01,2003-01-31
203677,2003-02-01,2003-02-01,2003-02-01,2003-02-28
236679,2003-03-01,2003-03-01,2003-03-01,2003-03-31
239415,2003-04-01,2003-04-01,2003-04-01,2003-04-30
253244,2003-05-01,2003-05-01,2003-05-01,2003-05-31
252145,2003-06-01,2003-06-01,2003-06-01,2003-06-30
262105,2003-07-01,2003-07-01,2003-07-01,2003-07-31
260687,2003-08-01,2003-08-01,2003-08-01,2003-08-31
237451,2003-09-01,2003-09-01,2003-09-01,2003-09-30
254048,2003-10-01,2003-10-01,2003-10-01,2003-10-31
233698,2003-11-01,2003-11-01,2003-11-01,2003-11-30
238538,2003-12-01,2003-12-01,2003-12-01,2003-12-31
222450,2004-01-01,2004-01-01,2004-01-01,2004-01-31
213709,2004-02-01,2004-02-01,2004-02-01,2004-02-29
251403,2004-03-01,2004-03-01,2004-03-01,2004-03-31
250968,2004-04-01,2004-04-01,2004-04-01,2004-04-30
257235,2004-05-01,2004-05-01,2004-05-01,2004-05-31
257383,2004-06-01,2004-06-01,2004-06-01,2004-06-30
265969,2004-07-01,2004-07-01,2004-07-01,2004-07-31
262836,2004-08-01,2004-08-01,2004-08-01,2004-08-31
243515,2004-09-01,2004-09-01,2004-09-01,2004-09-30
254496,2004-10-01,2004-10-01,2004-10-01,2004-10-31
239796,2004-11-01,2004-11-01,2004-11-01,2004-11-30
245029,2004-12-01,2004-12-01,2004-12-01,2004-12-31
224072,2005-01-01,2005-01-01,2005-01-01,2005-01-31
219970,2005-02-01,2005-02-01,2005-02-01,2005-02-28
253182,2005-03-01,2005-03-01,2005-03-01,2005-03-31
250860,2005-04-01,2005-04-01,2005-04-01,2005-04-30
262678,2005-05-01,2005-05-01,2005-05-01,2005-05-31
263816,2005-06-01,2005-06-01,2005-06-01,2005-06-30
267025,2005-07-01,2005-07-01,2005-07-01,2005-07-31
265323,2005-08-01,2005-08-01,2005-08-01,2005-08-31
242240,2005-09-01,2005-09-01,2005-09-01,2005-09-30
251419,2005-10-01,2005-10-01,2005-10-01,2005-10-31
243056,2005-11-01,2005-11-01,2005-11-01,2005-11-30
245787,2005-12-01,2005-12-01,2005-12-01,2005-12-31
233282,2006-01-01,2006-01-01,2006-01-01,2006-01-31
220711,2006-02-01,2006-02-01,2006-02-01,2006-02-28
256623,2006-03-01,2006-03-01,2006-03-01,2006-03-31
250644,2006-04-01,2006-04-01,2006-04-01,2006-04-30
263370,2006-05-01,2006-05-01,2006-05-01,2006-05-31
263782,2006-06-01,2006-06-01,2006-06-01,2006-06-30
263421,2006-07-01,2006-07-01,2006-07-01,2006-07-31
265206,2006-08-01,2006-08-01,2006-08-01,2006-08-31
245605,2006-09-01,2006-09-01,2006-09-01,2006-09-30
257939,2006-10-01,2006-10-01,2006-10-01,2006-10-31
245346,2006-11-01,2006-11-01,2006-11-01,2006-11-30
248187,2006-12-01,2006-12-01,2006-12-01,2006-12-31
233621,2007-01-01,2007-01-01,2007-01-01,2007-01-31
219232,2007-02-01,2007-02-01,2007-02-01,2007-02-28
259638,2007-03-01,2007-03-01,2007-03-01,2007-03-31
252595,2007-04-01,2007-04-01,2007-04-01,2007-04-30
267574,2007-05-01,2007-05-01,2007-05-01,2007-05-31
265374,2007-06-01,2007-06-01,2007-06-01,2007-06-30
