date,start_date,end_date,REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,OT,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS,YEAR_WEEK
1997-12-29,1997-12-29,1998-01-04,National,X,1997,53,5.62372,3.7185,579,X,584,576,X,207,1946,250,52333,1997-53
1997-12-29,1997-12-29,1998-01-04,National,X,1998,1,4.37398,3.59225,639,X,759,810,X,207,2415,254,67228,1998-1
1998-01-05,1998-01-05,1998-01-11,National,X,1998,2,4.19434,3.68922,690,X,654,1121,X,148,2613,255,70828,1998-2
1998-01-12,1998-01-12,1998-01-18,National,X,1998,3,5.42123,4.60396,856,X,679,1440,X,151,3126,245,67898,1998-3
1998-01-19,1998-01-19,1998-01-25,National,X,1998,4,5.66137,4.91007,824,X,817,1600,X,196,3437,245,69999,1998-4
1998-01-26,1998-01-26,1998-02-01,National,X,1998,5,5.97802,4.82687,881,X,769,1471,X,233,3354,239,69486,1998-5
1998-02-02,1998-02-02,1998-02-08,National,X,1998,6,4.7358,3.9459,699,X,671,1101,X,146,2617,234,66322,1998-6
1998-02-09,1998-02-09,1998-02-15,National,X,1998,7,3.44581,3.1081,457,X,523,849,X,119,1948,223,62675,1998-7
1998-02-16,1998-02-16,1998-02-22,National,X,1998,8,2.47799,2.13953,313,X,330,534,X,112,1289,217,60247,1998-8
1998-02-23,1998-02-23,1998-03-01,National,X,1998,9,1.65732,1.43954,241,X,214,308,X,64,827,211,57449,1998-9
1998-03-02,1998-03-02,1998-03-08,National,X,1998,10,1.96952,1.47879,201,X,183,305,X,59,748,208,50582,1998-10
1998-03-09,1998-03-09,1998-03-15,National,X,1998,11,1.58545,1.08556,162,X,123,249,X,51,585,200,53889,1998-11
1998-03-16,1998-03-16,1998-03-22,National,X,1998,12,1.80474,0.997967,156,X,93,196,X,41,486,177,48699,1998-12
1998-03-23,1998-03-23,1998-03-29,National,X,1998,13,1.04624,0.744205,90,X,92,144,X,32,358,182,48105,1998-13
1998-03-30,1998-03-30,1998-04-05,National,X,1998,14,1.4004,0.856631,82,X,93,152,X,41,368,170,42959,1998-14
1998-04-06,1998-04-06,1998-04-12,National,X,1998,15,0.79687,0.621737,64,X,73,106,X,19,262,156,42140,1998-15
1998-04-13,1998-04-13,1998-04-19,National,X,1998,16,0.717097,0.670954,82,X,68,100,X,15,265,155,39496,1998-16
1998-04-20,1998-04-20,1998-04-26,National,X,1998,17,1.00238,0.694082,58,X,61,120,X,27,266,148,38324,1998-17
1998-04-27,1998-04-27,1998-05-03,National,X,1998,18,0.908403,0.583457,39,X,64,93,X,13,209,136,35821,1998-18
1998-05-04,1998-05-04,1998-05-10,National,X,1998,19,0.443014,0.57764,79,X,37,61,X,9,186,131,32200,1998-19
1998-05-11,1998-05-11,1998-05-17,National,X,1998,20,0.638986,0.605216,54,X,40,52,X,19,165,120,27263,1998-20
1998-05-18,1998-05-18,1998-05-24,National,X,1998,21,0.0,0.0,0,0,0,0,0,0,0,0,0,1998-21
1998-05-25,1998-05-25,1998-05-31,National,X,1998,22,0.0,0.0,0,0,0,0,0,0,0,0,0,1998-22
1998-06-01,1998-06-01,1998-06-07,National,X,1998,23,0.0,0.0,0,0,0,0,0,0,0,0,0,1998-23
1998-06-08,1998-06-08,1998-06-14,National,X,1998,24,0.0,0.0,0,0,0,0,0,0,0,0,0,1998-24
1998-06-15,1998-06-15,1998-06-21,National,X,1998,25,0.0,0.0,0,0,0,0,0,0,0,0,0,1998-25
1998-06-22,1998-06-22,1998-06-28,National,X,1998,26,0.0,0.0,0,0,0,0,0,0,0,0,0,1998-26
1998-06-29,1998-06-29,1998-07-05,National,X,1998,27,0.0,0.0,0,0,0,0,0,0,0,0,0,1998-27
1998-07-06,1998-07-06,1998-07-12,National,X,1998,28,0.0,0.0,0,0,0,0,0,0,0,0,0,1998-28
1998-07-13,1998-07-13,1998-07-19,National,X,1998,29,0.0,0.0,0,0,0,0,0,0,0,0,0,1998-29
1998-07-20,1998-07-20,1998-07-26,National,X,1998,30,0.0,0.0,0,0,0,0,0,0,0,0,0,1998-30
1998-07-27,1998-07-27,1998-08-02,National,X,1998,31,0.0,0.0,0,0,0,0,0,0,0,0,0,1998-31
1998-08-03,1998-08-03,1998-08-09,National,X,1998,32,0.0,0.0,0,0,0,0,0,0,0,0,0,1998-32
1998-08-10,1998-08-10,1998-08-16,National,X,1998,33,0.0,0.0,0,0,0,0,0,0,0,0,0,1998-33
1998-08-17,1998-08-17,1998-08-23,National,X,1998,34,0.0,0.0,0,0,0,0,0,0,0,0,0,1998-34
1998-08-24,1998-08-24,1998-08-30,National,X,1998,35,0.0,0.0,0,0,0,0,0,0,0,0,0,1998-35
1998-08-31,1998-08-31,1998-09-06,National,X,1998,36,0.0,0.0,0,0,0,0,0,0,0,0,0,1998-36
1998-09-07,1998-09-07,1998-09-13,National,X,1998,37,0.0,0.0,0,0,0,0,0,0,0,0,0,1998-37
1998-09-14,1998-09-14,1998-09-20,National,X,1998,38,0.0,0.0,0,0,0,0,0,0,0,0,0,1998-38
1998-09-21,1998-09-21,1998-09-27,National,X,1998,39,0.0,0.0,0,0,0,0,0,0,0,0,0,1998-39
1998-09-28,1998-09-28,1998-10-04,National,X,1998,40,1.57733,0.697291,115,X,139,210,X,26,490,304,70272,1998-40
1998-10-05,1998-10-05,1998-10-11,National,X,1998,41,1.3088,0.784777,133,X,174,262,X,36,605,328,77092,1998-41
1998-10-12,1998-10-12,1998-10-18,National,X,1998,42,1.41744,0.902906,217,X,225,287,X,54,783,350,86720,1998-42
1998-10-19,1998-10-19,1998-10-25,National,X,1998,43,1.18272,1.13792,278,X,226,530,X,52,1086,377,95437,1998-43
1998-10-26,1998-10-26,1998-11-01,National,X,1998,44,2.33432,1.01551,298,X,262,414,X,60,1034,388,101821,1998-44
1998-11-02,1998-11-02,1998-11-08,National,X,1998,45,1.81577,1.0009,258,X,292,402,X,70,1022,400,102108,1998-45
1998-11-09,1998-11-09,1998-11-15,National,X,1998,46,2.17975,1.13895,355,X,281,478,X,64,1178,372,103429,1998-46
1998-11-16,1998-11-16,1998-11-22,National,X,1998,47,2.1124,1.44938,291,X,322,512,X,83,1208,403,83346,1998-47
1998-11-23,1998-11-23,1998-11-29,National,X,1998,48,2.04854,1.13908,319,X,310,453,X,94,1176,392,103241,1998-48
1998-11-30,1998-11-30,1998-12-06,National,X,1998,49,1.93248,1.16023,353,X,303,461,X,85,1202,399,103600,1998-49
1998-12-07,1998-12-07,1998-12-13,National,X,1998,50,1.90468,1.17127,312,X,320,426,X,83,1141,396,97416,1998-50
1998-12-14,1998-12-14,1998-12-20,National,X,1998,51,2.55983,1.49061,335,X,296,359,X,74,1064,384,71380,1998-51
1998-12-21,1998-12-21,1998-12-27,National,X,1998,52,3.99108,1.84288,418,X,466,377,X,162,1423,382,77216,1998-52
1998-12-28,1998-12-28,1999-01-03,National,X,1999,1,3.08581,1.8239,439,X,659,548,X,134,1780,396,97593,1999-1
1999-01-04,1999-01-04,1999-01-10,National,X,1999,2,4.16383,2.54354,431,X,962,874,X,140,2407,396,94632,1999-2
1999-01-11,1999-01-11,1999-01-17,National,X,1999,3,5.58049,3.61581,801,X,1168,1689,X,206,3864,399,106864,1999-3
1999-01-18,1999-01-18,1999-01-24,National,X,1999,4,5.25328,4.07912,755,X,1419,2185,X,186,4545,397,111421,1999-4
1999-01-25,1999-01-25,1999-01-31,National,X,1999,5,6.74667,5.0776,970,X,1562,2919,X,219,5670,397,111667,1999-5
1999-02-01,1999-02-01,1999-02-07,National,X,1999,6,7.57188,5.04884,1029,X,1591,2911,X,237,5768,379,114244,1999-6
1999-02-08,1999-02-08,1999-02-14,National,X,1999,7,6.87287,4.69331,822,X,1599,2275,X,224,4920,376,104830,1999-7
1999-02-15,1999-02-15,1999-02-21,National,X,1999,8,6.35098,4.23423,800,X,1520,1932,X,234,4486,352,105946,1999-8
1999-02-22,1999-02-22,1999-02-28,National,X,1999,9,5.41099,4.02363,769,X,1357,1543,X,241,3910,359,97176,1999-9
1999-03-01,1999-03-01,1999-03-07,National,X,1999,10,4.55008,2.99348,539,X,1041,1140,X,202,2922,351,97612,1999-10
1999-03-08,1999-03-08,1999-03-14,National,X,1999,11,3.85915,2.37759,458,X,704,778,X,130,2070,339,87063,1999-11
1999-03-15,1999-03-15,1999-03-21,National,X,1999,12,2.99601,2.01715,378,X,548,641,X,129,1696,321,84079,1999-12
1999-03-22,1999-03-22,1999-03-28,National,X,1999,13,1.97814,1.37688,243,X,382,397,X,69,1091,313,79237,1999-13
1999-03-29,1999-03-29,1999-04-04,National,X,1999,14,1.16887,0.88283,127,X,202,265,X,38,632,277,71588,1999-14
1999-04-05,1999-04-05,1999-04-11,National,X,1999,15,1.09302,0.613811,102,X,102,175,X,17,396,268,64515,1999-15
1999-04-12,1999-04-12,1999-04-18,National,X,1999,16,0.633169,0.42177,59,X,66,133,X,13,271,258,64253,1999-16
1999-04-19,1999-04-19,1999-04-25,National,X,1999,17,0.639561,0.615513,111,X,118,150,X,20,399,255,64824,1999-17
1999-04-26,1999-04-26,1999-05-02,National,X,1999,18,1.55531,0.302287,35,X,50,84,X,11,180,237,59546,1999-18
1999-05-03,1999-05-03,1999-05-09,National,X,1999,19,0.80802,0.522623,102,X,88,86,X,16,292,227,55872,1999-19
1999-05-10,1999-05-10,1999-05-16,National,X,1999,20,1.33997,0.529526,100,X,68,100,X,15,283,222,53444,1999-20
1999-05-17,1999-05-17,1999-05-23,National,X,1999,21,0.0,0.0,0,0,0,0,0,0,0,0,0,1999-21
1999-05-24,1999-05-24,1999-05-30,National,X,1999,22,0.0,0.0,0,0,0,0,0,0,0,0,0,1999-22
1999-05-31,1999-05-31,1999-06-06,National,X,1999,23,0.0,0.0,0,0,0,0,0,0,0,0,0,1999-23
1999-06-07,1999-06-07,1999-06-13,National,X,1999,24,0.0,0.0,0,0,0,0,0,0,0,0,0,1999-24
1999-06-14,1999-06-14,1999-06-20,National,X,1999,25,0.0,0.0,0,0,0,0,0,0,0,0,0,1999-25
1999-06-21,1999-06-21,1999-06-27,National,X,1999,26,0.0,0.0,0,0,0,0,0,0,0,0,0,1999-26
1999-06-28,1999-06-28,1999-07-04,National,X,1999,27,0.0,0.0,0,0,0,0,0,0,0,0,0,1999-27
1999-07-05,1999-07-05,1999-07-11,National,X,1999,28,0.0,0.0,0,0,0,0,0,0,0,0,0,1999-28
1999-07-12,1999-07-12,1999-07-18,National,X,1999,29,0.0,0.0,0,0,0,0,0,0,0,0,0,1999-29
1999-07-19,1999-07-19,1999-07-25,National,X,1999,30,0.0,0.0,0,0,0,0,0,0,0,0,0,1999-30
1999-07-26,1999-07-26,1999-08-01,National,X,1999,31,0.0,0.0,0,0,0,0,0,0,0,0,0,1999-31
1999-08-02,1999-08-02,1999-08-08,National,X,1999,32,0.0,0.0,0,0,0,0,0,0,0,0,0,1999-32
1999-08-09,1999-08-09,1999-08-15,National,X,1999,33,0.0,0.0,0,0,0,0,0,0,0,0,0,1999-33
1999-08-16,1999-08-16,1999-08-22,National,X,1999,34,0.0,0.0,0,0,0,0,0,0,0,0,0,1999-34
1999-08-23,1999-08-23,1999-08-29,National,X,1999,35,0.0,0.0,0,0,0,0,0,0,0,0,0,1999-35
1999-08-30,1999-08-30,1999-09-05,National,X,1999,36,0.0,0.0,0,0,0,0,0,0,0,0,0,1999-36
1999-09-06,1999-09-06,1999-09-12,National,X,1999,37,0.0,0.0,0,0,0,0,0,0,0,0,0,1999-37
1999-09-13,1999-09-13,1999-09-19,National,X,1999,38,0.0,0.0,0,0,0,0,0,0,0,0,0,1999-38
1999-09-20,1999-09-20,1999-09-26,National,X,1999,39,0.0,0.0,0,0,0,0,0,0,0,0,0,1999-39
1999-09-27,1999-09-27,1999-10-03,National,X,1999,40,0.831219,0.977255,264,X,228,273,X,26,791,316,80941,1999-40
1999-10-04,1999-10-04,1999-10-10,National,X,1999,41,1.40445,1.06706,292,X,297,351,X,57,997,361,93434,1999-41
1999-10-11,1999-10-11,1999-10-17,National,X,1999,42,1.31721,0.942688,346,X,293,371,X,57,1067,386,113187,1999-42
1999-10-18,1999-10-18,1999-10-24,National,X,1999,43,1.38161,1.01621,371,X,289,367,X,62,1089,355,107163,1999-43
1999-10-25,1999-10-25,1999-10-31,National,X,1999,44,1.41607,1.19439,438,X,434,607,X,91,1570,449,131448,1999-44
1999-11-01,1999-11-01,1999-11-07,National,X,1999,45,1.48438,1.24149,473,X,461,535,X,101,1570,456,126461,1999-45
1999-11-08,1999-11-08,1999-11-14,National,X,1999,46,1.52614,1.28568,443,X,544,622,X,92,1701,459,132304,1999-46
1999-11-15,1999-11-15,1999-11-21,National,X,1999,47,1.85336,1.69132,483,X,714,504,X,132,1833,455,108377,1999-47
1999-11-22,1999-11-22,1999-11-28,National,X,1999,48,2.32907,1.73731,518,X,994,835,X,137,2484,469,142980,1999-48
1999-11-29,1999-11-29,1999-12-05,National,X,1999,49,2.70254,2.33715,643,X,1316,1124,X,181,3264,480,139657,1999-49
1999-12-06,1999-12-06,1999-12-12,National,X,1999,50,3.50454,2.93022,828,X,1676,1405,X,299,4208,475,143607,1999-50
1999-12-13,1999-12-13,1999-12-19,National,X,1999,51,5.40799,4.41985,1130,X,2189,1399,X,450,5168,472,116927,1999-51
1999-12-20,1999-12-20,1999-12-26,National,X,1999,52,7.04228,5.64698,1339,X,3146,1697,X,664,6846,471,121233,1999-52
1999-12-27,1999-12-27,2000-01-02,National,X,2000,1,6.76846,5.15025,1314,X,3250,2043,X,665,7272,482,141197,2000-1
2000-01-03,2000-01-03,2000-01-09,National,X,2000,2,5.52808,3.90316,1011,X,2251,1746,X,462,5470,467,140143,2000-2
2000-01-10,2000-01-10,2000-01-16,National,X,2000,3,3.80508,2.91178,851,X,1357,1334,X,315,3857,450,132462,2000-3
2000-01-17,2000-01-17,2000-01-23,National,X,2000,4,3.41177,2.1567,722,X,962,1048,X,169,2901,433,134511,2000-4
2000-01-24,2000-01-24,2000-01-30,National,X,2000,5,2.4,1.81295,633,X,786,914,X,145,2478,441,136683,2000-5
2000-01-31,2000-01-31,2000-02-06,National,X,2000,6,1.8912,1.6166,599,X,646,862,X,116,2223,437,137511,2000-6
2000-02-07,2000-02-07,2000-02-13,National,X,2000,7,1.35503,1.26702,539,X,447,610,X,72,1668,413,131648,2000-7
2000-02-14,2000-02-14,2000-02-20,National,X,2000,8,1.33212,1.14107,452,X,328,481,X,64,1325,382,116119,2000-8
2000-02-21,2000-02-21,2000-02-27,National,X,2000,9,1.49127,1.23509,499,X,360,477,X,49,1385,370,112138,2000-9
2000-02-28,2000-02-28,2000-03-05,National,X,2000,10,1.26826,1.01933,381,X,256,394,X,57,1088,363,106737,2000-10
2000-03-06,2000-03-06,2000-03-12,National,X,2000,11,1.05854,0.926459,342,X,206,342,X,44,934,338,100814,2000-11
2000-03-13,2000-03-13,2000-03-19,National,X,2000,12,0.92201,0.911006,305,X,229,346,X,37,917,326,100658,2000-12
2000-03-20,2000-03-20,2000-03-26,National,X,2000,13,0.892334,0.823722,282,X,206,320,X,29,837,320,101612,2000-13
2000-03-27,2000-03-27,2000-04-02,National,X,2000,14,0.929201,0.725443,186,X,171,286,X,23,666,295,91806,2000-14
2000-04-03,2000-04-03,2000-04-09,National,X,2000,15,0.655592,0.579775,178,X,127,196,X,21,522,289,90035,2000-15
2000-04-10,2000-04-10,2000-04-16,National,X,2000,16,0.607002,0.451177,107,X,96,120,X,24,347,280,76910,2000-16
2000-04-17,2000-04-17,2000-04-23,National,X,2000,17,0.600003,0.438685,112,X,80,141,X,14,347,274,79100,2000-17
2000-04-24,2000-04-24,2000-04-30,National,X,2000,18,0.547247,0.440517,93,X,77,147,X,7,324,257,73550,2000-18
2000-05-01,2000-05-01,2000-05-07,National,X,2000,19,0.476417,0.351667,67,X,77,85,X,10,239,248,67962,2000-19
2000-05-08,2000-05-08,2000-05-14,National,X,2000,20,0.445917,0.36646,79,X,64,65,X,11,219,233,59761,2000-20
2000-05-15,2000-05-15,2000-05-21,National,X,2000,21,0.0,0.0,0,0,0,0,0,0,0,0,0,2000-21
2000-05-22,2000-05-22,2000-05-28,National,X,2000,22,0.0,0.0,0,0,0,0,0,0,0,0,0,2000-22
2000-05-29,2000-05-29,2000-06-04,National,X,2000,23,0.0,0.0,0,0,0,0,0,0,0,0,0,2000-23
2000-06-05,2000-06-05,2000-06-11,National,X,2000,24,0.0,0.0,0,0,0,0,0,0,0,0,0,2000-24
2000-06-12,2000-06-12,2000-06-18,National,X,2000,25,0.0,0.0,0,0,0,0,0,0,0,0,0,2000-25
2000-06-19,2000-06-19,2000-06-25,National,X,2000,26,0.0,0.0,0,0,0,0,0,0,0,0,0,2000-26
2000-06-26,2000-06-26,2000-07-02,National,X,2000,27,0.0,0.0,0,0,0,0,0,0,0,0,0,2000-27
2000-07-03,2000-07-03,2000-07-09,National,X,2000,28,0.0,0.0,0,0,0,0,0,0,0,0,0,2000-28
2000-07-10,2000-07-10,2000-07-16,National,X,2000,29,0.0,0.0,0,0,0,0,0,0,0,0,0,2000-29
2000-07-17,2000-07-17,2000-07-23,National,X,2000,30,0.0,0.0,0,0,0,0,0,0,0,0,0,2000-30
2000-07-24,2000-07-24,2000-07-30,National,X,2000,31,0.0,0.0,0,0,0,0,0,0,0,0,0,2000-31
2000-07-31,2000-07-31,2000-08-06,National,X,2000,32,0.0,0.0,0,0,0,0,0,0,0,0,0,2000-32
2000-08-07,2000-08-07,2000-08-13,National,X,2000,33,0.0,0.0,0,0,0,0,0,0,0,0,0,2000-33
2000-08-14,2000-08-14,2000-08-20,National,X,2000,34,0.0,0.0,0,0,0,0,0,0,0,0,0,2000-34
2000-08-21,2000-08-21,2000-08-27,National,X,2000,35,0.0,0.0,0,0,0,0,0,0,0,0,0,2000-35
2000-08-28,2000-08-28,2000-09-03,National,X,2000,36,0.0,0.0,0,0,0,0,0,0,0,0,0,2000-36
2000-09-04,2000-09-04,2000-09-10,National,X,2000,37,0.0,0.0,0,0,0,0,0,0,0,0,0,2000-37
2000-09-11,2000-09-11,2000-09-17,National,X,2000,38,0.0,0.0,0,0,0,0,0,0,0,0,0,2000-38
2000-09-18,2000-09-18,2000-09-24,National,X,2000,39,0.0,0.0,0,0,0,0,0,0,0,0,0,2000-39
2000-09-25,2000-09-25,2000-10-01,National,X,2000,40,1.04113,1.22865,206,X,322,443,X,70,1041,337,84727,2000-40
2000-10-02,2000-10-02,2000-10-08,National,X,2000,41,1.2871,1.05545,270,X,389,489,X,86,1234,451,116917,2000-41
2000-10-09,2000-10-09,2000-10-15,National,X,2000,42,1.28299,1.15984,390,X,458,617,X,96,1561,487,134587,2000-42
2000-10-16,2000-10-16,2000-10-22,National,X,2000,43,1.34081,1.22688,411,X,564,683,X,123,1781,507,145165,2000-43
2000-10-23,2000-10-23,2000-10-29,National,X,2000,44,1.0555,1.24107,465,X,564,703,X,138,1870,526,150676,2000-44
2000-10-30,2000-10-30,2000-11-05,National,X,2000,45,1.14136,1.4316,564,X,635,849,X,181,2229,545,155700,2000-45
2000-11-06,2000-11-06,2000-11-12,National,X,2000,46,1.44111,1.49427,572,X,736,979,X,162,2449,571,163893,2000-46
2000-11-13,2000-11-13,2000-11-19,National,X,2000,47,1.95735,1.84268,704,X,646,913,X,154,2417,569,131168,2000-47
2000-11-20,2000-11-20,2000-11-26,National,X,2000,48,1.61928,1.59762,673,X,900,1085,X,196,2854,581,178641,2000-48
2000-11-27,2000-11-27,2000-12-03,National,X,2000,49,1.7844,1.73473,710,X,916,1232,X,239,3097,595,178529,2000-49
2000-12-04,2000-12-04,2000-12-10,National,X,2000,50,2.34423,2.04538,677,X,1077,1455,X,185,3394,600,165935,2000-50
2000-12-11,2000-12-11,2000-12-17,National,X,2000,51,2.69528,2.41051,767,X,1052,1337,X,205,3361,585,139431,2000-51
2000-12-18,2000-12-18,2000-12-24,National,X,2000,52,3.8618,3.38334,1059,X,1496,1335,X,262,4152,587,122719,2000-52
2001-01-01,2001-01-01,2001-01-07,National,X,2001,1,3.505,3.2288,1049,X,1855,1571,X,321,4796,591,148538,2001-1
2001-01-08,2001-01-08,2001-01-14,National,X,2001,2,3.43804,3.11951,1081,X,1722,2423,X,318,5544,611,177720,2001-2
2001-01-15,2001-01-15,2001-01-21,National,X,2001,3,4.3928,3.80424,1395,X,1806,3223,X,293,6717,617,176566,2001-3
2001-01-22,2001-01-22,2001-01-28,National,X,2001,4,4.21339,4.18681,1542,X,1991,4057,X,318,7908,626,188879,2001-4
2001-01-29,2001-01-29,2001-02-04,National,X,2001,5,4.35364,3.9865,1329,X,1958,3705,X,295,7287,578,182792,2001-5
2001-02-05,2001-02-05,2001-02-11,National,X,2001,6,3.69969,3.60607,1370,X,1731,3017,X,358,6476,566,179586,2001-6
2001-02-12,2001-02-12,2001-02-18,National,X,2001,7,2.81921,2.81015,1059,X,1393,2126,X,254,4832,566,171948,2001-7
2001-02-19,2001-02-19,2001-02-25,National,X,2001,8,2.55294,2.41561,834,X,1278,1566,X,245,3923,540,162402,2001-8
2001-02-26,2001-02-26,2001-03-04,National,X,2001,9,1.90167,1.73272,683,X,752,1008,X,163,2606,511,150399,2001-9
2001-03-05,2001-03-05,2001-03-11,National,X,2001,10,1.68033,1.64319,622,X,854,934,X,152,2562,510,155916,2001-10
2001-03-12,2001-03-12,2001-03-18,National,X,2001,11,1.6254,1.35803,524,X,522,762,X,135,1943,472,143075,2001-11
2001-03-19,2001-03-19,2001-03-25,National,X,2001,12,1.45957,1.39027,485,X,507,751,X,136,1879,460,135154,2001-12
2001-03-26,2001-03-26,2001-04-01,National,X,2001,13,1.32376,1.2237,465,X,419,575,X,131,1590,442,129934,2001-13
2001-04-02,2001-04-02,2001-04-08,National,X,2001,14,0.920073,1.11908,288,X,421,421,X,126,1256,371,112235,2001-14
2001-04-09,2001-04-09,2001-04-15,National,X,2001,15,0.779257,0.938967,219,X,305,344,X,82,950,349,101175,2001-15
2001-04-16,2001-04-16,2001-04-22,National,X,2001,16,0.991303,0.944308,234,X,344,331,X,88,997,342,105580,2001-16
2001-04-23,2001-04-23,2001-04-29,National,X,2001,17,0.82693,0.742603,198,X,253,274,X,46,771,334,103824,2001-17
2001-04-30,2001-04-30,2001-05-06,National,X,2001,18,0.588952,0.735456,173,X,225,265,X,71,734,322,99802,2001-18
2001-05-07,2001-05-07,2001-05-13,National,X,2001,19,0.605586,0.725155,165,X,196,250,X,60,671,293,92532,2001-19
2001-05-14,2001-05-14,2001-05-20,National,X,2001,20,0.49434,0.670346,94,X,159,179,X,38,470,262,70113,2001-20
2001-05-21,2001-05-21,2001-05-27,National,X,2001,21,0.0,0.0,0,0,0,0,0,0,0,0,0,2001-21
2001-05-28,2001-05-28,2001-06-03,National,X,2001,22,0.0,0.0,0,0,0,0,0,0,0,0,0,2001-22
2001-06-04,2001-06-04,2001-06-10,National,X,2001,23,0.0,0.0,0,0,0,0,0,0,0,0,0,2001-23
2001-06-11,2001-06-11,2001-06-17,National,X,2001,24,0.0,0.0,0,0,0,0,0,0,0,0,0,2001-24
2001-06-18,2001-06-18,2001-06-24,National,X,2001,25,0.0,0.0,0,0,0,0,0,0,0,0,0,2001-25
2001-06-25,2001-06-25,2001-07-01,National,X,2001,26,0.0,0.0,0,0,0,0,0,0,0,0,0,2001-26
2001-07-02,2001-07-02,2001-07-08,National,X,2001,27,0.0,0.0,0,0,0,0,0,0,0,0,0,2001-27
2001-07-09,2001-07-09,2001-07-15,National,X,2001,28,0.0,0.0,0,0,0,0,0,0,0,0,0,2001-28
2001-07-16,2001-07-16,2001-07-22,National,X,2001,29,0.0,0.0,0,0,0,0,0,0,0,0,0,2001-29
2001-07-23,2001-07-23,2001-07-29,National,X,2001,30,0.0,0.0,0,0,0,0,0,0,0,0,0,2001-30
2001-07-30,2001-07-30,2001-08-05,National,X,2001,31,0.0,0.0,0,0,0,0,0,0,0,0,0,2001-31
2001-08-06,2001-08-06,2001-08-12,National,X,2001,32,0.0,0.0,0,0,0,0,0,0,0,0,0,2001-32
2001-08-13,2001-08-13,2001-08-19,National,X,2001,33,0.0,0.0,0,0,0,0,0,0,0,0,0,2001-33
2001-08-20,2001-08-20,2001-08-26,National,X,2001,34,0.0,0.0,0,0,0,0,0,0,0,0,0,2001-34
2001-08-27,2001-08-27,2001-09-02,National,X,2001,35,0.0,0.0,0,0,0,0,0,0,0,0,0,2001-35
2001-09-03,2001-09-03,2001-09-09,National,X,2001,36,0.0,0.0,0,0,0,0,0,0,0,0,0,2001-36
2001-09-10,2001-09-10,2001-09-16,National,X,2001,37,0.0,0.0,0,0,0,0,0,0,0,0,0,2001-37
2001-09-17,2001-09-17,2001-09-23,National,X,2001,38,0.0,0.0,0,0,0,0,0,0,0,0,0,2001-38
2001-09-24,2001-09-24,2001-09-30,National,X,2001,39,0.0,0.0,0,0,0,0,0,0,0,0,0,2001-39
2001-10-01,2001-10-01,2001-10-07,National,X,2001,40,1.41046,0.997404,429,X,372,485,X,82,1368,607,137156,2001-40
2001-10-08,2001-10-08,2001-10-14,National,X,2001,41,1.77019,1.09692,479,X,526,628,X,114,1747,646,159264,2001-41
2001-10-15,2001-10-15,2001-10-21,National,X,2001,42,1.61904,1.1679,562,X,560,697,X,113,1932,690,165425,2001-42
2001-10-22,2001-10-22,2001-10-28,National,X,2001,43,1.77065,1.26256,567,X,643,876,X,118,2204,710,174566,2001-43
2001-10-29,2001-10-29,2001-11-04,National,X,2001,44,1.93891,1.30014,655,X,665,883,X,168,2371,746,182365,2001-44
2001-11-05,2001-11-05,2001-11-11,National,X,2001,45,1.63439,1.21838,626,X,687,865,X,149,2327,758,190992,2001-45
